"filename", "language", "JSON with Comments", "Markdown", "JavaScript", "JSON", "TypeScript", "TypeScript JSX", "XML", "CSS", "comment", "blank", "total"
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\ui\toaster.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 0, 4, 36
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\ui\tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 0, 8, 31
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\ui\use-toast.ts", "TypeScript", 0, 0, 0, 0, 156, 0, 0, 0, 3, 31, 190
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\DashboardLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 27, 0, 0, 0, 4, 31
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\Sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 120, 0, 0, 0, 5, 125
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\components\AccountSwitcher.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 333, 0, 0, 4, 15, 352
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\components\CheckboxReactHookFormMultiple.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 142, 0, 0, 0, 9, 151
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\components\DocumentCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 104, 0, 0, 0, 4, 108
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\components\selectOwnAccounts.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 46, 0, 0, 0, 7, 53
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\components\teamSwitcher.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 203, 0, 0, 0, 9, 212
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\components\userProfile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 126, 0, 0, 0, 5, 131
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\daily-journal\components\UserMDXDocuments.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\daily-journal\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 141, 0, 0, 0, 5, 146
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\fundedAccounts\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 0, 4, 27
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\news\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 0, 4, 27
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 171, 0, 0, 1, 7, 179
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\profile\components\form-test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 58, 0, 0, 4, 8, 70
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\profile\components\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 153, 0, 0, 0, 25, 178
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\profile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 69, 0, 0, 0, 3, 72
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\trade-history\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 0, 4, 27
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\data\features.ts", "TypeScript", 0, 0, 0, 0, 46, 0, 0, 0, 0, 2, 48
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 73, 1, 28, 102
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 0, 4, 36
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\middleware\withAuth.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 2, 6, 29
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 59, 0, 0, 0, 5, 64
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\pricing\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 101, 0, 0, 0, 4, 105
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\signup\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
