"filename", "language", "JavaScript", "JSON", "JSON with Comments", "TypeScript JSX", "TypeScript", "XML", "Markdown", "CSS", "comment", "blank", "total"
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\demo\news\types.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\demo\news\userNewsComponent.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\demo\news\userNewsComponent.tsx", "TypeScript JSX", 0, 0, 0, 204, 0, 0, 0, 0, 0, 28, 232
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\demo\overviewChart.tsx", "TypeScript JSX", 0, 0, 0, -116, 0, 0, 0, 0, 0, -4, -120
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\demo\paymentMethod.tsx", "TypeScript JSX", 0, 0, 0, -115, 0, 0, 0, 0, 0, -3, -118
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\demo\reportIssue.tsx", "TypeScript JSX", 0, 0, 0, -81, 0, 0, 0, 0, 0, -3, -84
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\demo\supabase-client.ts", "TypeScript", 0, 0, 0, 0, -5, 0, 0, 0, -2, -3, -10
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\demo\taskCreate.tsx", "TypeScript JSX", 0, 0, 0, -200, 0, 0, 0, 0, -2, -10, -212
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\demo\tasks\TaskList.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\demo\tasks\TaskList.tsx", "TypeScript JSX", 0, 0, 0, 232, 0, 0, 0, 0, 1, 9, 242
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\demo\tasks\taskCreate.tsx", "TypeScript JSX", 0, 0, 0, 201, 0, 0, 0, 0, 0, 10, 211
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\demo\teamMembers.tsx", "TypeScript JSX", 0, 0, 0, -150, 0, 0, 0, 0, 0, -4, -154
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\navbar\navbar.tsx", "TypeScript JSX", 0, 0, 0, -5, 0, 0, 0, 0, 0, 1, -4
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\reusable\TaskList\TaskList.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\reusable\TaskList\TaskList.tsx", "TypeScript JSX", 0, 0, 0, -212, 0, 0, 0, 0, -1, -10, -223
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\reusable\ToggleSidebar.tsx", "TypeScript JSX", 0, 0, 0, -22, 0, 0, 0, 0, -1, -4, -27
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\tabs\BookmakrsTab.tsx", "TypeScript JSX", 0, 0, 0, 46, 0, 0, 0, 0, 0, 5, 51
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\tabs\CalendarTab.tsx", "TypeScript JSX", 0, 0, 0, -41, 0, 0, 0, 0, 0, -5, -46
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\tabs\DailyLogsTab.tsx", "TypeScript JSX", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\tabs\GoalsTab.tsx", "TypeScript JSX", 0, 0, 0, -37, 0, 0, 0, 0, 0, -5, -42
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\tabs\MarketWhispererTab.tsx", "TypeScript JSX", 0, 0, 0, -51, 0, 0, 0, 0, 0, -5, -56
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\tabs\NewsTab.tsx", "TypeScript JSX", 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, -3
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\tabs\TasksTab.tsx", "TypeScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, -1, 2, 20
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\ui\use-toast.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, -3, 2, -1
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\DashboardLayout.tsx", "TypeScript JSX", 0, 0, 0, -27, 0, 0, 0, 0, 0, -4, -31
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\Sidebar.tsx", "TypeScript JSX", 0, 0, 0, -120, 0, 0, 0, 0, 0, -5, -125
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\components\AccountInformation.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, -31, 0, -5, -36
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\components\AccountInformation.tsx", "TypeScript JSX", 0, 0, 0, -474, 0, 0, 0, 0, -5, -35, -514
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\components\AccountInformation\AccountInformation.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 31, 0, 5, 36
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\components\AccountInformation\AccountInformation.tsx", "TypeScript JSX", 0, 0, 0, 480, 0, 0, 0, 0, 6, 48, 534
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\components\AccountInformation\AccountSummary.tsx", "TypeScript JSX", 0, 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\components\AccountInformation\ChallengeLiveAcc.tsx", "TypeScript JSX", 0, 0, 0, -137, 0, 0, 0, 0, 0, -7, -144
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\components\AccountInformation\DemoChallengeCard.tsx", "TypeScript JSX", 0, 0, 0, -161, 0, 0, 0, 0, 0, -11, -172
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\components\AccountInformation\DemoLiveCard.tsx", "TypeScript JSX", 0, 0, 0, -57, 0, 0, 0, 0, 0, -3, -60
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\components\AccountInformation\ProfitLossCard.tsx", "TypeScript JSX", 0, 0, 0, -33, 0, 0, 0, 0, -3, -7, -43
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\components\AccountInformation\dayProfitView.tsx", "TypeScript JSX", 0, 0, 0, 67, 0, 0, 0, 0, 0, 7, 74
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\components\AccountInformation\dynamicDemoChallengeCard.tsx", "TypeScript JSX", 0, 0, 0, 17, 0, 0, 0, 0, -1, 6, 22
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\components\AccountInformation\dynamicDemoLiveCard.tsx", "TypeScript JSX", 0, 0, 0, 147, 0, 0, 0, 0, 0, 16, 163
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\components\AccountInformation\overviewChart.tsx", "TypeScript JSX", 0, 0, 0, 116, 0, 0, 0, 0, 0, 4, 120
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\components\AccountInformation\weekProfitView.tsx", "TypeScript JSX", 0, 0, 0, 71, 0, 0, 0, 0, 0, 8, 79
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\components\AccountSwitcher.tsx", "TypeScript JSX", 0, 0, 0, 168, 0, 0, 0, 0, -9, 1, 160
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\components\DocumentCard.tsx", "TypeScript JSX", 0, 0, 0, -104, 0, 0, 0, 0, 0, -4, -108
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\components\selectOwnAccounts.tsx", "TypeScript JSX", 0, 0, 0, -46, 0, 0, 0, 0, 0, -7, -53
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\components\tables\columns.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, -2
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\components\teamSwitcher.tsx", "TypeScript JSX", 0, 0, 0, -203, 0, 0, 0, 0, 0, -9, -212
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\components\userProfile.tsx", "TypeScript JSX", 0, 0, 0, -34, 0, 0, 0, 0, 0, 0, -34
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\daily-journal\components\UserMDXDocuments.tsx", "TypeScript JSX", 0, 0, 0, -10, 0, 0, 0, 0, 0, -3, -13
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\daily-journal\page.tsx", "TypeScript JSX", 0, 0, 0, -141, 0, 0, 0, 0, 0, -5, -146
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\fundedAccounts\page.tsx", "TypeScript JSX", 0, 0, 0, -23, 0, 0, 0, 0, 0, -4, -27
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\news\page.tsx", "TypeScript JSX", 0, 0, 0, -23, 0, 0, 0, 0, 0, -4, -27
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, -59, 0, 0, 0, 0, -1, 2, -58
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\profile\components\form-test.tsx", "TypeScript JSX", 0, 0, 0, 236, 0, 0, 0, 0, -4, 5, 237
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\profile\page.tsx", "TypeScript JSX", 0, 0, 0, -42, 0, 0, 0, 0, 0, 0, -42
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\dashboard\trade-history\page.tsx", "TypeScript JSX", 0, 0, 0, -23, 0, 0, 0, 0, 0, -4, -27
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\data\features.ts", "TypeScript", 0, 0, 0, 0, -18, 0, 0, 0, 0, 0, -18
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\middleware\withAuth.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, -2
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\pricing\page.tsx", "TypeScript JSX", 0, 0, 0, -101, 0, 0, 0, 0, 0, -4, -105
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\lib\utils.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\next.config.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 1, 2, 10
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\package-lock.json", "JSON", 0, 24679, 0, 0, 0, 0, 0, 0, 0, 1, 24680
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\package.json", "JSON", 0, 114, 0, 0, 0, 0, 0, 0, 0, 1, 115
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\public\trading-icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\tailwind.config.js", "JavaScript", 78, 0, 0, 0, 0, 0, 0, 0, 1, 2, 81
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\tsconfig.json", "JSON with Comments", 0, 0, 33, 0, 0, 0, 0, 0, 4, 1, 38
"Total", "-", 91, 24793, 36, 633, 52, 1, 21, 6, -18, 74, 25689
